Product,Price,Quantity,Category
Laptop,568,177,Elect
Keyboard,36,151,Electronics
Mouse,37,179,Electronics
Monitor,91,12,Elect
Mouse,24,38,Electronics
Mouse,33,141,Electronics
Mouse,28,25,Electronics
Laptop,474,17,Electronics
Keyboard,34,36,Electronics
Laptop,699,168,Electronics
Mouse,14,149,Electronics
Laptop,434,71,Electronics
Laptop,409,113,Electronics
Mouse,27,141,Electronics
Keyboard,46,58,Elect
Mouse,25,175,Electronics
Mouse,38,35,Electronics
Laptop,568,113,Electronics
Monitor,57,58,Electronics
Keyboard,30,164,Electronics
Laptop,406,100,Electronics
Keyboard,21,148,Electronics
Mouse,31,174,Electronics
Monitor,97,158,Electronics
Monitor,78,97,Electronics
Monitor,92,195,Electronics
Monitor,50,20,Electronics
Keyboard,35,130,Electronics
Keyboard,22,13,Electronics
Monitor,71,57,Electronics
Mouse,24,29,Electronics
Keyboard,42,128,Electronics
Mouse,11,13,Electronics
Mouse,22,90,Electronics
Keyboard,47,17,Electronics
Keyboard,32,42,Electronics
Monitor,65,46,Electronics
Monitor,98,102,Electronics
Laptop,558,104,Electronics
Laptop,451,115,Electronics
Monitor,98,161,Electronics
Laptop,623,21,Electronics
Laptop,437,25,Electronics
Keyboard,48,149,Electronics
Laptop,481,78,Electronics
Monitor,67,96,Electronics
Keyboard,47,69,Electronics
Monitor,73,198,Electronics
Mouse,18,105,Electronics
Mouse,37,24,Electronics
Monitor,80,33,Electronics
Mouse,18,185,Electronics
Laptop,690,193,Electronics
Mouse,23,187,Electronics
Laptop,719,111,Electronics
Monitor,90,144,Electronics
Monitor,68,82,Electronics
Mouse,30,98,Electronics
Keyboard,37,42,Electronics
Monitor,83,48,Electronics
Laptop,622,198,Electronics
Mouse,20,46,Electronics
Keyboard,31,125,Electronics
Monitor,54,108,Electronics
Laptop,441,200,Electronics
Laptop,721,114,Electronics
Monitor,73,145,Electronics
Laptop,647,3,Electronics
Laptop,747,197,Electronics
Laptop,654,4,Electronics
Mouse,36,18,Electronics
Keyboard,29,155,Electronics
Laptop,758,184,Electronics
Monitor,57,35,Electronics
Keyboard,40,63,Electronics
Monitor,64,45,Electronics
Mouse,14,119,Electronics
Monitor,91,179,Electronics
Laptop,710,60,Electronics
Keyboard,50,151,Electronics
Mouse,23,72,Electronics
Laptop,767,37,Electronics
Keyboard,36,179,Electronics
Keyboard,34,23,Electronics
Monitor,78,126,Electronics
Mouse,11,29,Electronics
Monitor,56,4,Electronics
Keyboard,21,194,Electronics
Keyboard,22,188,Electronics
Laptop,718,62,Electronics
Monitor,58,103,Electronics
Keyboard,29,39,Electronics
Mouse,30,77,Electronics
Keyboard,30,199,Electronics
Laptop,612,31,Electronics
Laptop,732,143,Electronics
Keyboard,49,169,Electronics
Monitor,63,144,Electronics
Keyboard,48,19,Electronics
Keyboard,21,54,Electronics
Laptop,522,58,Electronics
Monitor,56,141,Electronics
Mouse,14,145,Electronics
Monitor,63,127,Electronics
Monitor,75,184,Electronics
Monitor,70,147,Electronics
Mouse,23,148,Electronics
Laptop,780,169,Electronics
Monitor,55,119,Electronics
Laptop,482,116,Electronics
Mouse,29,151,Electronics
Laptop,685,158,Electronics
Monitor,62,184,Electronics
Keyboard,28,119,Electronics
Keyboard,46,1,Electronics
Laptop,500,85,Electronics
Mouse,11,153,Electronics
Monitor,79,167,Electronics
Laptop,445,68,Electronics
Keyboard,21,5,Electronics
Laptop,441,145,Electronics
Laptop,667,146,Electronics
Laptop,603,40,Electronics
Monitor,85,20,Electronics
Mouse,19,144,Electronics
Monitor,73,180,Electronics
Monitor,66,135,Electronics
Laptop,416,80,Electronics
Monitor,72,141,Electronics
Mouse,22,7,Electronics
Mouse,14,81,Electronics
Keyboard,45,97,Electronics
Keyboard,32,84,Electronics
Laptop,566,177,Electronics
Mouse,14,131,Electronics
Laptop,586,100,Electronics
Monitor,74,115,Electronics
Mouse,29,180,Electronics
Keyboard,33,199,Electronics
Monitor,64,84,Electronics
Mouse,12,43,Electronics
Keyboard,41,157,Electronics
Laptop,713,140,Electronics
Keyboard,42,80,Electronics
Mouse,16,36,Electronics
Mouse,39,82,Electronics
Laptop,553,28,Electronics
Laptop,573,157,Electronics
Laptop,524,93,Electronics
Mouse,10,157,Electronics
Mouse,21,32,Electronics
Mouse,37,63,Electronics
Laptop,678,35,Electronics
Mouse,14,122,Electronics
Laptop,415,148,Electronics
Mouse,28,132,Electronics
Mouse,30,198,Electronics
Mouse,28,150,Electronics
Monitor,100,33,Electronics
Monitor,84,188,Electronics
Keyboard,45,38,Electronics
Keyboard,39,140,Electronics
Laptop,619,58,Electronics
Laptop,543,190,Electronics
Monitor,59,73,Electronics
Laptop,762,99,Electronics
Laptop,563,118,Electronics
Keyboard,41,100,Electronics
Laptop,483,137,Electronics
Laptop,630,117,Electronics
Monitor,52,61,Electronics
Mouse,19,13,Electronics
Keyboard,49,119,Electronics
Laptop,487,34,Electronics
Mouse,16,110,Electronics
Monitor,60,93,Electronics
Mouse,10,87,Electronics
Laptop,641,1,Electronics
Monitor,57,35,Electronics
Monitor,93,31,Electronics
Monitor,70,2,Electronics
Laptop,492,97,Electronics
Mouse,27,152,Electronics
Keyboard,27,110,Electronics
Monitor,72,148,Electronics
Mouse,39,191,Electronics
Laptop,691,67,Electronics
Laptop,726,114,Electronics
Mouse,38,30,Electronics
Laptop,507,200,Electronics
Keyboard,43,199,Electronics
Monitor,97,148,Electronics
Mouse,19,163,Electronics
Keyboard,30,90,Electronics
Monitor,85,36,Electronics
Laptop,586,64,Electronics
Laptop,483,57,Electronics
Mouse,33,12,Electronics
Laptop,696,186,Electronics
